Term in CSV,Other Term in CSV,Similarity Score
getijmolen,getijdemolen,91
sluisdeur,Kluisdeur,89
sluisdeur,sluisdeuren,90
lagere school,lagere scholen,89
Staalconstructie,Schaalconstructie,91
linie,linies,91
esdorpenlandschap,Terpenlandschap,88
Monumentenregister,Monumentenregistratie,87
atelier,ateliers,93
Dijkdoorbraak,Dijkdoorbraken,89
filtergebouw,Snelfiltergebouw,86
filtergebouw,filtergebouwen,92
gezondheidskolonie,gezondheidskolonien,97
bollenschuur,bollenschuren,88
bollenschuur,molenschuur,87
badpaviljoen,paviljoen,86
administratiegebouw,administratiegebouwen,95
Spoorweggebouw,spoorweggebouwen,87
Voetveer,Voetveeg,88
veerpont,veerponten,89
Inundatie,Inundaties,95
katholieke begraafplaats,katholieke begraafplaatsen,96
bouwoffer,bouwoffers,95
veldkapel,veldkapellen,86
calvarieberg,calvariebergen,92
informatiesysteem,informatiesystemen,91
mijnwerkerswoning,mijnwerkerswoningen,94
Pleisterplaats,Pleisterplaatsen,93
stationsoverkapping,stationsoverkappingen,95
menagerie,menagerieen,90
Dijkrecht,Dijkrechten,90
Bebouwing,Bebouwingen,90
diamantslijperij,diamantslijperijen,94
hallekerk,hallekerken,90
Gouvernementsgebouw,gouvernementsgebouwen,90
luchtwachttoren,luchtwachttorens,97
Meubelfabriek,Meelfabriek,92
Meubelfabriek,meubelfabrieken,86
bejaardenwoning,bejaardenwoningen,94
Landschapsplan,Landschappen,85
Landschapsplan,Landschapsparken,87
Landschapsplan,Landschapsplannen,90
Landschapsplan,Landschapspark,86
Voordeur,Voorde,86
dakpannenfabriek,pannenfabriek,90
dakpannenfabriek,dakpannenfabrieken,94
Zitmeubilair,meubilair,86
portierswoning,poortierswoningen,90
Meelfabriek,Tegelfabriek,87
Meelfabriek,Melkfabriek,91
Meelfabriek,Meubelfabriek,92
schuilplaats,schuilplaatsen,92
lunchroom,lunchrooms,95
ambachtshuis,ambachtshuizen,85
schuurmiddel,schuurmiddelen,92
Legende,Legenden,93
Mergel,Mergels,92
Stormvloed,Stormvloeden,91
veerhuis,Teerhuis,88
Rietdekker,Rietdekken,90
kapittelkerk,kapittelkerken,92
roepsteen,roepstoelen,90
Kerkpui,Kerkuil,86
Bouwvoorschrift,Bouwopschrift,86
Verzekering,Verzekeringen,92
Zilvermerk,Zilverwerk,90
Rietdekken,Rietdekker,90
Decoratie,Decoraties,95
Lakwerk,Vakwerk,86
Lakwerk,Dakwerk,86
Lakwerk,Laswerk,86
Lakwerk,Latwerk,86
waterburcht,waterburchten,92
Fundament,Fundamenten,90
Israëlitische begraafplaats,Israëlitische begraafplaatsen,96
brugwachterswoning,brugwachterswoningen,95
Monumentenregistratie,Monumentenregister,87
Monumentenregistratie,Monumentenorganisatie,86
